source,block,size,seed,variant,u_max,repeat,encoding,encoding_source,epsilon,agent,eval_interval,commit,tag,do_ga,er_buffer_size,er_min_samples,er_samples_number,verdict,trials,knowledge,reliable,spec,n_bits,peak_macro,peak_rss_gb,wall_s,trials_per_s
slurm_mpx70_s42_outcome.out,1,70,42,pyalcs,8,0,outcome,filename,0.8,acs2,,,,true,,,,SUCCESS,4680000,1.0,276,7.01,71,12616,0.0,2155.6,2171.09
slurm_mpx70_s43_outcome.out,1,70,43,pyalcs,8,0,outcome,filename,0.8,acs2,,,,true,,,,SUCCESS,62340000,1.0,280,7.05,71,12490,0.0,13757.0,4531.51
slurm_mpx70_s44_outcome.out,1,70,44,pyalcs,8,0,outcome,filename,0.8,acs2,,,,true,,,,SUCCESS,10260000,1.0,276,7.0,71,12431,0.0,2852.8,3596.47
mpx_m2b_reach135.log,2,135,42,butz,10,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,188000,0.0,0,0.0,136,18208,0.38,381.3,493.05
mpx_m2b_reach135.log,1,135,42,pyalcs,9,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,324500,0.0,0,0.0,136,16805,0.26,360.1,901.14
slurm_mpx135_s42.out,1,135,42,pyalcs,9,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,105621000,0.0,0,0.0,136,39283,0.0,250000.5,422.48
slurm_mpx135_s42_addr.out,1,135,42,pyalcs,9,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,9509500,0.0,0,0.0,136,23741,0.0,21600.3,440.25
slurm_mpx135_s42_eps1_u11.out,1,135,42,pyalcs,11,0,flip,wrapper-default,1,acs2,,,,true,,,,TIME-LIMITED,301483000,0.7442,393,8.01,136,56680,0.0,600000.0,502.47
slurm_mpx135_s42_erfine_u11.out,1,135,42,pyalcs,11,0,flip,wrapper-default,0.8,acs2er,,,,true,10000,1000,3,TIME-LIMITED,1894500,0.0902,1753,13.14,136,280929,0.0,600061.2,3.16
slurm_mpx135_s42_erfine_u12.out,1,135,42,pyalcs,12,0,flip,wrapper-default,0.8,acs2er,,,,true,10000,1000,3,TIME-LIMITED,1235500,0.0738,2530,13.86,136,172803,0.0,600108.7,2.06
slurm_mpx135_s42_qdetail_u11.out,1,135,42,pyalcs,11,0,flip,wrapper-default,0.8,acs2,,,,true,,,,TIME-LIMITED,583842500,0.7499,395,8.0,136,44006,0.0,600000.3,973.07
slurm_mpx135_s42_qdetail_u12.out,1,135,42,pyalcs,12,0,flip,wrapper-default,0.8,acs2,,,,true,,,,TIME-LIMITED,366848000,0.5,259,8.05,136,77539,0.0,600000.1,611.41
slurm_mpx135_s42_u10.out,1,135,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,7820000,0.0,0,0.0,136,25493,0.0,21600.7,362.03
slurm_mpx135_s42_u10long.out,1,135,42,pyalcs,10,0,flip,wrapper-default,0.8,acs2,,,,true,,,,TIME-LIMITED,294775500,0.2717,170,8.97,136,48579,0.0,600001.1,491.29
slurm_mpx135_s42_u11cover.out,1,135,42,pyalcs,11,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,533668500,0.7499,388,8.0,136,44006,0.0,600000.1,889.45
slurm_mpx135_s42_u11long.out,1,135,42,pyalcs,11,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,655383500,0.7499,396,8.0,136,44006,0.0,600078.1,1092.16
slurm_mpx135_s42_u12.out,1,135,42,pyalcs,12,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,7042500,0.0129,226,13.33,136,26608,0.0,21602.5,326.0
slurm_mpx135_s42_u12long.out,1,135,42,pyalcs,12,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,339107500,0.5,258,8.05,136,77539,0.0,600015.5,565.16
slurm_mpx135_s42_u13long.out,1,135,42,pyalcs,13,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,158236000,0.4889,258,8.14,136,148377,0.0,600000.2,263.73
slurm_mpx135_s42_u14long.out,1,135,42,pyalcs,14,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,25090000,0.1628,6861,15.2,136,323323,0.0,600034.6,41.81
slurm_mpx135_s42_u16.out,1,135,42,pyalcs,16,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,3955000,0.0,0,0.0,136,24991,0.0,21602.1,183.08
slurm_mpx135_s42_u16long.out,1,135,42,pyalcs,16,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,35512500,0.3242,8092,16.89,136,460540,0.0,600016.1,59.19
slurm_mpx135_s42_u24.out,1,135,42,pyalcs,24,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,1594500,0.0,0,0.0,136,206843,0.0,21600.5,73.82
slurm_mpx135_s42_u8.out,1,135,42,pyalcs,8,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,5537000,0.0,0,0.0,136,33785,0.0,21600.6,256.34
