source,size,seed,variant,u_max,repeat,trials,wall_s,knowledge,reliable,spec,pop
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4260000,2269.0,0.6282,181,7.24,2773
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4320000,2301.0,0.6329,181,7.22,1579
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4380000,2324.0,0.6244,169,7.18,1782
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4440000,2353.0,0.6324,179,7.19,1542
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4500000,2379.0,0.6328,175,7.19,1353
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4560000,2416.0,0.6351,180,7.27,1509
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4620000,2432.0,0.6419,195,7.35,1601
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4680000,2451.0,0.6419,185,7.32,1652
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4740000,2480.0,0.6468,192,7.33,1517
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4800000,2518.0,0.6483,197,7.34,1601
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4860000,2548.0,0.6445,182,7.31,1405
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4920000,2574.0,0.6522,181,7.34,1469
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,4980000,2608.0,0.6547,185,7.28,1463
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5040000,2637.0,0.6553,182,7.2,1431
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5100000,2670.0,0.6562,184,7.18,1635
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5160000,2693.0,0.6618,195,7.19,1903
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5220000,2715.0,0.6621,189,7.2,1711
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5280000,2740.0,0.6677,188,7.2,4793
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5340000,2770.0,0.6661,192,7.17,1474
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5400000,2792.0,0.668,181,7.14,1454
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5460000,2816.0,0.6655,182,7.19,1779
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5520000,2845.0,0.666,185,7.18,1493
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5580000,2869.0,0.6673,187,7.18,1399
