acs2-bench mpx-reach: sizes=[135] n_exp=1 seed=42 rss_cap=5.6GB time_cap=250000s do_ga=true alp_gen_variant=pyalcs
  mem mpx-135 (N=136): condition=272B effect=272B mark=3264B (stack) classifier=3896B  mark/classifier=83.8%  rss-cap pop-threshold=1437371
  mpx-135 trials_cap=18446744073709551615 (= 20000*2^(k-6)*10, clamped to u64::MAX) u_max=9
  mpx-135 traj: trials=6600000 wall=15486s knowledge=0.0000 reliable=0 spec=0.00 pop=4279
  mpx-135 traj: trials=6660000 wall=15588s knowledge=0.0000 reliable=0 spec=0.00 pop=4044
  mpx-135 traj: trials=6720000 wall=15696s knowledge=0.0000 reliable=0 spec=0.00 pop=3803
  mpx-135 traj: trials=6780000 wall=15887s knowledge=0.0000 reliable=0 spec=0.00 pop=4139
  mpx-135 traj: trials=6840000 wall=16037s knowledge=0.0000 reliable=0 spec=0.00 pop=4017
  mpx-135 traj: trials=6900000 wall=16160s knowledge=0.0000 reliable=0 spec=0.00 pop=3863
  mpx-135 traj: trials=6960000 wall=16289s knowledge=0.0000 reliable=0 spec=0.00 pop=3735
  mpx-135 traj: trials=7020000 wall=16409s knowledge=0.0000 reliable=0 spec=0.00 pop=5074
  mpx-135 traj: trials=7080000 wall=16554s knowledge=0.0000 reliable=0 spec=0.00 pop=3967
  mpx-135 traj: trials=7140000 wall=16712s knowledge=0.0000 reliable=0 spec=0.00 pop=4062
  mpx-135 traj: trials=7200000 wall=16818s knowledge=0.0000 reliable=0 spec=0.00 pop=3989
  mpx-135 traj: trials=7260000 wall=16965s knowledge=0.0000 reliable=0 spec=0.00 pop=5666
  mpx-135 traj: trials=7320000 wall=17096s knowledge=0.0000 reliable=0 spec=0.00 pop=3685
  mpx-135 traj: trials=7380000 wall=17220s knowledge=0.0000 reliable=0 spec=0.00 pop=4025
  mpx-135 traj: trials=7440000 wall=17348s knowledge=0.0000 reliable=0 spec=0.00 pop=4066
  mpx-135 traj: trials=7500000 wall=17495s knowledge=0.0000 reliable=0 spec=0.00 pop=3621
  mpx-135 traj: trials=7560000 wall=17636s knowledge=0.0000 reliable=0 spec=0.00 pop=3986
  mpx-135 traj: trials=7620000 wall=17736s knowledge=0.0000 reliable=0 spec=0.00 pop=3809
  mpx-135 traj: trials=7680000 wall=17839s knowledge=0.0000 reliable=0 spec=0.00 pop=3749
  mpx-135 traj: trials=7740000 wall=18006s knowledge=0.0000 reliable=0 spec=0.00 pop=3871
  mpx-135 traj: trials=7800000 wall=18132s knowledge=0.0000 reliable=0 spec=0.00 pop=4255
  mpx-135 traj: trials=7860000 wall=18248s knowledge=0.0000 reliable=0 spec=0.00 pop=3968
  mpx-135 traj: trials=7920000 wall=18377s knowledge=0.0000 reliable=0 spec=0.00 pop=3857
  mpx-135 traj: trials=7980000 wall=18477s knowledge=0.0000 reliable=0 spec=0.00 pop=3975
  mpx-135 traj: trials=8040000 wall=18608s knowledge=0.0000 reliable=0 spec=0.00 pop=4033
  mpx-135 traj: trials=8100000 wall=18732s knowledge=0.0000 reliable=0 spec=0.00 pop=4018
  mpx-135 traj: trials=8160000 wall=18840s knowledge=0.0000 reliable=0 spec=0.00 pop=3739
  mpx-135 traj: trials=8220000 wall=19005s knowledge=0.0000 reliable=0 spec=0.00 pop=4352
  mpx-135 traj: trials=8280000 wall=19114s knowledge=0.0000 reliable=0 spec=0.00 pop=4141
  mpx-135 traj: trials=8340000 wall=19323s knowledge=0.0000 reliable=0 spec=0.00 pop=4395
  mpx-135 traj: trials=8400000 wall=19434s knowledge=0.0000 reliable=0 spec=0.00 pop=19469
  mpx-135 traj: trials=8460000 wall=19656s knowledge=0.0000 reliable=0 spec=0.00 pop=3838
  mpx-135 traj: trials=8520000 wall=19774s knowledge=0.0000 reliable=0 spec=0.00 pop=3958
  mpx-135 traj: trials=8580000 wall=19895s knowledge=0.0000 reliable=0 spec=0.00 pop=3762
  mpx-135 traj: trials=8640000 wall=20008s knowledge=0.0000 reliable=0 spec=0.00 pop=3797
  mpx-135 traj: trials=8700000 wall=20138s knowledge=0.0000 reliable=0 spec=0.00 pop=3907
  mpx-135 traj: trials=8760000 wall=20256s knowledge=0.0000 reliable=0 spec=0.00 pop=4489
  mpx-135 traj: trials=8820000 wall=20360s knowledge=0.0000 reliable=0 spec=0.00 pop=3706
  mpx-135 traj: trials=8880000 wall=20473s knowledge=0.0000 reliable=0 spec=0.00 pop=3715
  mpx-135 traj: trials=8940000 wall=20602s knowledge=0.0000 reliable=0 spec=0.00 pop=4165
  mpx-135 traj: trials=9000000 wall=20730s knowledge=0.0000 reliable=0 spec=0.00 pop=4306
  mpx-135 traj: trials=9060000 wall=20844s knowledge=0.0000 reliable=0 spec=0.00 pop=3818
  mpx-135 traj: trials=9120000 wall=20986s knowledge=0.0000 reliable=0 spec=0.00 pop=3829
  mpx-135 traj: trials=9180000 wall=21127s knowledge=0.0000 reliable=0 spec=0.00 pop=3808
  mpx-135 traj: trials=9240000 wall=21231s knowledge=0.0000 reliable=0 spec=0.00 pop=3727
  mpx-135 traj: trials=9300000 wall=21345s knowledge=0.0000 reliable=0 spec=0.00 pop=3937
  mpx-135 traj: trials=9360000 wall=21458s knowledge=0.0000 reliable=0 spec=0.00 pop=3740
  mpx-135 traj: trials=9420000 wall=21569s knowledge=0.0000 reliable=0 spec=0.00 pop=3958
  mpx-135 traj: trials=9480000 wall=21668s knowledge=0.0000 reliable=0 spec=0.00 pop=3762
  mpx-135 traj: trials=9540000 wall=21828s knowledge=0.0000 reliable=0 spec=0.00 pop=4016
  mpx-135 traj: trials=9600000 wall=22081s knowledge=0.0000 reliable=0 spec=0.00 pop=4827
  mpx-135 traj: trials=9660000 wall=22187s knowledge=0.0000 reliable=0 spec=0.00 pop=3971
  mpx-135 traj: trials=9720000 wall=22311s knowledge=0.0000 reliable=0 spec=0.00 pop=4249
  mpx-135 traj: trials=9780000 wall=22467s knowledge=0.0000 reliable=0 spec=0.00 pop=4683
  mpx-135 traj: trials=9840000 wall=22580s knowledge=0.0000 reliable=0 spec=0.00 pop=3908
  mpx-135 traj: trials=9900000 wall=22702s knowledge=0.0000 reliable=0 spec=0.00 pop=4068
  mpx-135 traj: trials=9960000 wall=22854s knowledge=0.0000 reliable=0 spec=0.00 pop=4135
  mpx-135 traj: trials=10020000 wall=23032s knowledge=0.0000 reliable=0 spec=0.00 pop=3973
  mpx-135 traj: trials=10080000 wall=23155s knowledge=0.0000 reliable=0 spec=0.00 pop=3610
  mpx-135 traj: trials=10140000 wall=23278s knowledge=0.0000 reliable=0 spec=0.00 pop=3860
  mpx-135 traj: trials=10200000 wall=23420s knowledge=0.0000 reliable=0 spec=0.00 pop=4328
  mpx-135 traj: trials=10260000 wall=23688s knowledge=0.0000 reliable=0 spec=0.00 pop=3719
  mpx-135 traj: trials=10320000 wall=23809s knowledge=0.0000 reliable=0 spec=0.00 pop=3866
  mpx-135 traj: trials=10380000 wall=23961s knowledge=0.0000 reliable=0 spec=0.00 pop=3911
  mpx-135 traj: trials=10440000 wall=24099s knowledge=0.0000 reliable=0 spec=0.00 pop=4319
  mpx-135 traj: trials=10500000 wall=24275s knowledge=0.0000 reliable=0 spec=0.00 pop=3965
  mpx-135 traj: trials=10560000 wall=24448s knowledge=0.0000 reliable=0 spec=0.00 pop=3857
  mpx-135 traj: trials=10620000 wall=24618s knowledge=0.0000 reliable=0 spec=0.00 pop=4794
  mpx-135 traj: trials=10680000 wall=24748s knowledge=0.0000 reliable=0 spec=0.00 pop=3711
  mpx-135 traj: trials=10740000 wall=24856s knowledge=0.0000 reliable=0 spec=0.00 pop=3911
  mpx-135 traj: trials=10800000 wall=24956s knowledge=0.0000 reliable=0 spec=0.00 pop=3739
  mpx-135 traj: trials=10860000 wall=25117s knowledge=0.0000 reliable=0 spec=0.00 pop=4413
  mpx-135 traj: trials=10920000 wall=25233s knowledge=0.0000 reliable=0 spec=0.00 pop=4093
  mpx-135 traj: trials=10980000 wall=25438s knowledge=0.0000 reliable=0 spec=0.00 pop=3812
  mpx-135 traj: trials=11040000 wall=25620s knowledge=0.0000 reliable=0 spec=0.00 pop=3799
  mpx-135 traj: trials=11100000 wall=25740s knowledge=0.0000 reliable=0 spec=0.00 pop=4645
  mpx-135 traj: trials=11160000 wall=25883s knowledge=0.0000 reliable=0 spec=0.00 pop=3683
  mpx-135 traj: trials=11220000 wall=25994s knowledge=0.0000 reliable=0 spec=0.00 pop=3604
  mpx-135 traj: trials=11280000 wall=26172s knowledge=0.0000 reliable=0 spec=0.00 pop=3794
  mpx-135 traj: trials=11340000 wall=26296s knowledge=0.0000 reliable=0 spec=0.00 pop=3999
  mpx-135 traj: trials=11400000 wall=26465s knowledge=0.0000 reliable=0 spec=0.00 pop=3595
  mpx-135 traj: trials=11460000 wall=26565s knowledge=0.0000 reliable=0 spec=0.00 pop=3651
  mpx-135 traj: trials=11520000 wall=26680s knowledge=0.0000 reliable=0 spec=0.00 pop=3858
  mpx-135 traj: trials=11580000 wall=26788s knowledge=0.0000 reliable=0 spec=0.00 pop=4145
